"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"46","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00605",NA,0.7,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-01 12:20:00,"UTC"
"47","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00608",NA,0.06,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16209A",20160727,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"48","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00613",NA,0.021,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16209A",20160727,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"49","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00618",NA,3.04,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-01 12:20:00,"UTC"
"50","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00631",NA,3.06,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316200A",20160718,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"51","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00660",NA,3.29,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-01 12:20:00,"UTC"
"52","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00665",NA,1.16,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW207A",20160726,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"53","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"00671",NA,1.07,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16209A",20160727,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"54","USGS","01189000",2016-07-01,"07:20",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"4","9","9",NA,"62855",NA,3.82,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP193A",20160711,NA,"USGSNWQL",2016-07-01 12:20:00,"UTC"
"55","USGS","01189000",2016-07-08,"08:00",NA,NA,"EST","K","USGS-WRD","WS","30G1EQW00",NA,NA,NA,"5","7","9",NA,"00605",NA,0.65,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-08 13:00:00,"UTC"
